Rank,Model,Weighted Total,Total $/1M,Creator,Reasoning,Orig Intelligence Index,GDPval-AA,GDPval-AA (norm),Terminal-Bench Hard,Terminal-Bench v2.1,SciCode,Terminal-Bench Hard (norm),Terminal-Bench v2.1 (norm),SciCode (norm),LCR,Omniscience Index,IFBench,LCR (norm),Omniscience Index (norm),IFBench (norm),GPQA Diamond,HLE,GPQA Diamond (norm),HLE (norm),Price 1M In,Price 1M Out,Cache Hit,Cost-In $,Cost-Cache $,Cost-Out $,Imputed
1,GPT-5.6 Sol (max),93.2,10.925,OpenAI,True,58.889831189723,0.617875,99.1,0.659090909090909,0.880149812734082,0.561342592592593,100,98.3,93.3,0.736666666666667,21.7,0.726530612244898,97.4,85.2,83.2,0.941414141414141,0.471733086190918,100,87.8,5,30,0.5,1.75,0.175,9,
2,Claude Fable 5 (with fallback),93.1,18.85,Anthropic,True,59.8606463217303,0.62337,100,0.628787878787879,0.846441947565543,0.601851851851852,95.4,94.6,100,0.7,40.15,0.63469387755102,92.5,100,68.7,0.926262626262626,0.53336422613531,98,100,10,50,1,3.5,0.35,15,
3,Kimi K3,90.7,5.655,Kimi,True,57.1123394372091,0.59292,95.1,0.53,0.850187265917603,0.586805555555556,80.5,95,97.5,0.746666666666667,18.4166666666667,0.771,98.7,82.6,90.2,0.935353535353535,0.443466172381835,99.2,82.2,3,15,0.3,1.05,0.105,4.5,"Terminal-Bench Hard(reg), IFBench(reg)"
4,GPT-5.6 Sol (xhigh),90.2,10.925,OpenAI,True,57.653836996095,0.595075,95.5,0.613636363636364,0.895131086142322,0.560185185185185,93.1,100,93.1,0.71,20.55,0.710204081632653,93.8,84.3,80.6,0.931313131313131,0.447173308619092,98.7,83,5,30,0.5,1.75,0.175,9,
5,GPT-5.5 (xhigh),88.2,12.018,OpenAI,True,54.8375984166433,0.49554,79.5,0.606060606060606,0.842696629213483,0.561342592592593,92,94.1,93.3,0.743333333333333,20.0666666666667,0.758503401360544,98.2,83.9,88.2,0.935353535353535,0.443002780352178,99.2,82.1,5.5,33,0.55,1.925,0.193,9.9,
6,GPT-5.6 Sol (high),88.1,10.925,OpenAI,True,55.8665067971861,0.563025,90.3,0.621212121212121,0.872659176029963,0.569444444444444,94.3,97.5,94.6,0.683333333333333,19.75,0.691836734693878,90.3,83.7,77.7,0.928282828282828,0.440685820203893,98.3,81.7,5,30,0.5,1.75,0.175,9,
7,GPT-5.6 Sol (medium),86,10.925,OpenAI,True,53.5888349532218,0.52683,84.5,0.628787878787879,0.861423220973783,0.564814814814815,95.4,96.2,93.8,0.686666666666667,18.95,0.695918367346939,90.7,83,78.3,0.926262626262626,0.397126969416126,98,73.1,5,30,0.5,1.75,0.175,9,
8,Claude Opus 4.8 (max),85.8,9.425,Anthropic,True,55.6920406995495,0.546375,87.6,0.583333333333333,0.846441947565543,0.534722222222222,88.5,94.6,88.8,0.676666666666667,27.4333333333333,0.622448979591837,89.4,89.8,66.7,0.92020202020202,0.457367933271548,97.2,85,5,25,0.5,1.75,0.175,7.5,
9,GPT-5.5 (high),85.7,12.018,OpenAI,True,53.1275095349873,0.4836,77.6,0.598484848484849,0.794007490636704,0.559027777777778,90.8,88.7,92.9,0.733333333333333,18.3666666666667,0.716326530612245,96.9,82.6,81.5,0.932323232323232,0.430027803521779,98.8,79.6,5.5,33,0.55,1.925,0.193,9.9,
10,GPT-5.6 Terra (max),85.5,5.463,OpenAI,True,54.9528567569231,0.54135,86.8,0.575757575757576,0.880149812734082,0.539351851851852,87.4,98.3,89.6,0.74,-0.216666666666667,0.712244897959184,97.8,67.7,80.9,0.925252525252525,0.417979610750695,97.9,77.2,2.5,15,0.25,0.875,0.087,4.5,
11,Claude Sonnet 5 (max),85.5,5.655,Anthropic,True,53.3500026989169,0.551515,88.5,0.53,0.805243445692884,0.53587962962963,80.5,90,89,0.706666666666667,15.3166666666667,0.736,93.4,80.1,84.7,0.911111111111111,0.395736793327155,96,72.8,3,15,0.3,1.05,0.105,4.5,"Terminal-Bench Hard(reg), IFBench(reg)"
12,Grok 4.5 (high),85.3,2.675,SpaceXAI,True,53.8265951657731,0.513685,82.4,0.53,0.816479400749064,0.540509259259259,80.5,91.2,89.8,0.676666666666667,26.3833333333333,0.735,89.4,89,84.4,0.931313131313131,0.402687673772011,98.7,74.2,2,6,0.5,0.7,0.175,1.8,"Terminal-Bench Hard(reg), IFBench(reg)"
13,GPT-5.4 (xhigh),83.1,6.009,OpenAI,True,51.4012420630147,0.446145,71.6,0.575757575757576,0.782771535580524,0.565972222222222,87.4,87.4,94,0.74,5.65,0.739455782312925,97.8,72.4,85.2,0.92020202020202,0.416126042632067,97.2,76.8,2.75,16.5,0.275,0.962,0.096,4.95,
14,GPT-5.6 Terra (xhigh),82.9,5.463,OpenAI,True,51.6046369461818,0.5366150000000001,86.1,0.628787878787879,0.801498127340824,0.516203703703704,95.4,89.5,85.8,0.713333333333333,-3.3,0.662585034013605,94.3,65.2,73.1,0.908080808080808,0.400370713623726,95.6,73.7,2.5,15,0.25,0.875,0.087,4.5,
15,GPT-5.6 Luna (max),82.8,2.185,OpenAI,True,51.2359331798034,0.5409700000000001,86.8,0.53,0.808988764044944,0.525462962962963,80.5,90.4,87.3,0.74,-11.2333333333333,0.746,97.8,58.8,86.1,0.911111111111111,0.372103799814643,96,68.1,1,6,0.1,0.35,0.035,1.8,"Terminal-Bench Hard(reg), IFBench(reg)"
16,GPT-5.5 (medium),82.7,12.018,OpenAI,True,50.4090068672092,0.43646,70,0.575757575757576,0.805243445692884,0.534722222222222,87.4,90,88.8,0.723333333333333,17.2833333333333,0.70952380952381,95.6,81.7,80.5,0.926262626262626,0.405931417979611,98,74.8,5.5,33,0.55,1.925,0.193,9.9,
17,Gemini 3.6 Flash AI Studio,82.3,2.827,Google,True,50.0675324362393,0.461525,74,0.53,0.775280898876405,0.52662037037037,80.5,86.6,87.5,0.696666666666667,23.5333333333333,0.716,92.1,86.7,81.5,0.928282828282828,0.382761816496756,98.3,70.2,1.5,7.5,0.15,0.525,0.052,2.25,"Terminal-Bench Hard(reg), IFBench(reg)"
18,GLM-5.2 (max),82.2,1.72,Z AI,True,51.0858347714416,0.505135,81,0.507575757575758,0.779026217228464,0.50462962962963,77,87,83.8,0.713333333333333,3.96666666666667,0.733333333333333,94.3,71,84.2,0.894949494949495,0.40129749768304,93.9,73.9,1.2,4.1,0.2,0.42,0.07,1.23,
19,Muse Spark 1.1 (xhigh),82.1,1.765,Meta,True,50.6229899483333,0.43753,70.2,0.53,0.779026217228464,0.582175925925926,80.5,87,96.7,0.633333333333333,18,0.732,83.7,82.3,84.1,0.897979797979798,0.450880444856348,94.3,83.7,1.25,4.25,0.15,0.438,0.052,1.275,"Terminal-Bench Hard(reg), IFBench(reg)"
20,GPT-5.6 Sol (low),81.1,10.925,OpenAI,True,49.444040367728,0.471355,75.6,0.606060606060606,0.767790262172285,0.554398148148148,92,85.8,92.1,0.676666666666667,18.4,0.66530612244898,89.4,82.6,73.5,0.897979797979798,0.365616311399444,94.3,66.8,5,30,0.5,1.75,0.175,9,
21,Claude Opus 4.7 (max),81,9.425,Anthropic,True,53.5296569524586,0.496565,79.7,0.515151515151515,0.831460674157303,0.545138888888889,78.2,92.9,90.6,0.703333333333333,26.1666666666667,0.586394557823129,93,88.8,61.1,0.914141414141414,0.396200185356812,96.4,72.9,5,25,0.5,1.75,0.175,7.5,
