Rank,Model,Weighted Total,Total $/1M,Reasoning Cost ×,Creator,Reasoning,Orig Intelligence Index,GDPval-AA,GDPval-AA (norm),Terminal-Bench Hard,Terminal-Bench Hard (norm),Terminal-Bench v2.1,Terminal-Bench v2.1 (norm),SciCode,SciCode (norm),LCR,LCR (norm),Omniscience Index,Omniscience Index (norm),IFBench,IFBench (norm),GPQA Diamond,GPQA Diamond (norm),HLE,HLE (norm),Price 1M In,Price 1M Out,Cache Hit,Imputed
1,Claude Fable 5 (with fallback),91.5,48.85,3.0,Anthropic,True,62.0726622017462,0.621,92.3,0.629,95.4,0.846,94.6,0.602,100.0,0.767,92.0,43.3,100.0,0.635,68.7,0.926,98.0,0.555,100.0,10.0,50.0,1.0,
2,GPT-5.6 Sol (max),91.0,61.518,6.0,OpenAI,True,60.9298701329203,0.615,91.3,0.659,100.0,0.88,98.3,0.561,93.3,0.777,93.2,21.967,83.3,0.727,83.2,0.941,100.0,0.495,88.9,5.5,33.0,0.55,
3,Claude Opus 5 (max),88.7,46.925,6.0,Anthropic,True,63.0532452071291,0.673,100.0,0.53*,80.5,0.891,99.6,0.557,92.5,0.757,90.8,37.067,95.1,0.554*,55.9,0.932,98.8,0.549,98.9,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
4,Claude Opus 5 (xhigh),88.5,39.425,5.0,Anthropic,True,62.52047429879,0.66,98.0,0.53*,80.5,0.88,98.3,0.55,91.3,0.763,91.6,35.383,93.8,0.57*,58.4,0.937,99.5,0.544,98.0,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
5,GPT-5.6 Sol (xhigh),88.4,46.925,5.0,OpenAI,True,59.0090363705536,0.591,87.7,0.614,93.1,0.895,100.0,0.56,93.1,0.763,91.6,20.983,82.5,0.71,80.6,0.931,98.7,0.473,84.8,5.0,30.0,0.5,
6,Claude Opus 5 (high),87.3,31.925,4.0,Anthropic,True,61.4751191473465,0.617,91.7,0.53*,80.5,0.876,97.9,0.543,90.2,0.763,91.6,33.717,92.5,0.593*,62.1,0.937,99.5,0.528,95.1,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
7,GPT-5.6 Sol (high),86.6,37.925,4.0,OpenAI,True,57.3317210962224,0.561,83.4,0.621,94.3,0.873,97.5,0.569,94.6,0.753,90.4,20.367,82.0,0.692,77.7,0.928,98.3,0.46,82.4,5.0,30.0,0.5,
8,GPT-5.5 (xhigh),86.4,51.617,5.0,OpenAI,True,56.3066851860359,0.495,73.6,0.606,92.0,0.843,94.1,0.561,93.3,0.79,94.8,20.517,82.2,0.759,88.2,0.935,99.2,0.458,82.0,5.5,33.0,0.55,
9,Kimi K3 (max),86.0,28.155,6.0,Kimi,True,59.6994671342592,0.591,87.8,0.53*,80.5,0.85,95.0,0.587,97.5,0.827,99.2,19.7,81.5,0.639*,69.4,0.935,99.2,0.469,84.0,3.0,15.0,0.3,"Terminal-Bench Hard(reg), IFBench(reg)"
10,Claude Opus 5 (medium),85.8,24.425,3.0,Anthropic,True,58.6354597438038,0.562,83.5,0.53*,80.5,0.861,96.2,0.507,84.2,0.787,94.4,31.017,90.4,0.63*,67.9,0.919,97.1,0.513,92.2,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
11,Muse Spark 1.2 (xhigh),85.2,6.865,5.0,Meta,True,56.7615911905642,0.565,84.0,0.53*,80.5,0.801,89.5,0.564,93.7,0.833,100.0,27.2,87.4,0.649*,71.0,0.904,95.1,0.455,81.4,1.25,4.25,0.15,"Terminal-Bench Hard(reg), IFBench(reg)"
12,GPT-5.6 Sol (medium),84.6,28.925,3.0,OpenAI,True,55.5729051710609,0.526,78.2,0.629,95.4,0.861,96.2,0.565,93.8,0.743,89.2,19.4,81.3,0.696,78.3,0.926,98.0,0.422,75.3,5.0,30.0,0.5,
13,Claude Opus 4.8 (max),84.3,46.925,6.0,Anthropic,True,57.3304158758428,0.544,80.8,0.583,88.5,0.846,94.6,0.535,88.8,0.73,87.6,28.75,88.6,0.622,66.7,0.92,97.2,0.487,87.3,5.0,25.0,0.5,
14,GPT-5.5 (high),84.2,41.718,4.0,OpenAI,True,54.6668082793663,0.483,71.8,0.598,90.8,0.794,88.7,0.559,92.9,0.79,94.8,18.75,80.8,0.716,81.5,0.932,98.8,0.45,80.6,5.5,33.0,0.55,
15,Muse Spark 1.1 (xhigh),83.8,6.865,5.0,Meta,True,53.1989553356511,0.437,64.9,0.53*,80.5,0.779,87.0,0.582,96.7,0.813,97.6,28.083,88.1,0.752*,87.2,0.898,94.3,0.462,82.7,1.25,4.25,0.15,"Terminal-Bench Hard(reg), IFBench(reg)"
16,GPT-5.6 Terra (max),83.6,22.37,6.0,OpenAI,True,56.5755675890213,0.539,80.0,0.576,87.4,0.88,98.3,0.539,89.6,0.797,95.6,0.05,66.1,0.712,80.9,0.925,97.9,0.429,76.6,2.0,12.0,0.2,
17,Qwen3.8 Max,82.4,6.187,3.0,Alibaba,True,58.0774404479668,0.619,92.0,0.53*,80.5,0.813,90.8,0.529,87.9,0.743,89.2,3.4,68.8,0.633*,68.4,0.927,98.2,0.43,76.9,2.0,6.0,0.25,"Terminal-Bench Hard(reg), IFBench(reg)"
18,GPT-5.4 (xhigh),81.5,25.809,5.0,OpenAI,True,53.1231377466063,0.447,66.4,0.576,87.4,0.783,87.4,0.566,94.0,0.777,93.2,5.783,70.6,0.739,85.2,0.92,97.2,0.437,78.2,2.75,16.5,0.275,
19,Claude Sonnet 5 (max),81.3,18.77,6.0,Anthropic,True,55.261211717405,0.55,81.8,0.53*,80.5,0.805,90.0,0.536,89.0,0.77,92.4,16.45,79.0,0.628*,67.6,0.911,96.0,0.413,73.6,2.0,10.0,0.2,"Terminal-Bench Hard(reg), IFBench(reg)"
20,GPT-5.5 (medium),81.1,31.818,3.0,OpenAI,True,51.4222518389803,0.437,65.0,0.576,87.4,0.805,90.0,0.535,88.8,0.767,92.0,18.1,80.3,0.71,80.5,0.926,98.0,0.424,75.6,5.5,33.0,0.55,
21,GPT-5.3 Codex (xhigh),81.0,21.674,5.0,OpenAI,True,45.511743785809365,0.454*,67.5,0.53,80.5,0.729*,81.4,0.532,88.5,0.783,94.0,10.867,74.6,0.754,87.4,0.915,96.6,0.425,75.8,1.75,14.0,0.175,"GDPval-AA(reg), Terminal-Bench v2.1(reg)"
22,GPT-5.6 Terra (xhigh),81.0,18.77,5.0,OpenAI,True,52.7732451128074,0.536,79.6,0.629,95.4,0.801,89.5,0.516,85.8,0.75,90.0,-2.983,63.8,0.663,73.1,0.908,95.6,0.419,74.7,2.0,12.0,0.2,
23,Grok 4.5 (high),80.8,8.005,4.0,SpaceXAI,True,55.7588993916902,0.513,76.2,0.53*,80.5,0.816,91.2,0.541,89.8,0.74,88.8,25.317,85.9,0.612*,65.1,0.931,98.7,0.427,76.2,2.0,6.0,0.3,"Terminal-Bench Hard(reg), IFBench(reg)"
24,GLM-5.2 (max),80.4,7.87,6.0,Z AI,True,52.6409563457385,0.504,74.8,0.508,77.0,0.779,87.0,0.505,83.8,0.767,92.0,4.433,69.6,0.733,84.2,0.895,93.9,0.411,73.3,1.2,4.1,0.2,
25,Gemini 3.5 Flash AI Studio,80.3,8.678,3.0,Google,True,51.96360747017,0.422,62.7,0.409,62.1,0.787,87.9,0.531,88.3,0.81,97.2,21.183,82.7,0.763,88.9,0.922,97.5,0.427,76.2,1.5,9.0,0.15,
26,Gemini 3.6 Flash AI Studio,80.2,7.327,3.0,Google,True,51.5819376989529,0.461,68.6,0.53*,80.5,0.775,86.6,0.527,87.5,0.79,94.8,22.133,83.4,0.668*,73.9,0.928,98.3,0.408,72.7,1.5,7.5,0.15,"Terminal-Bench Hard(reg), IFBench(reg)"
27,Claude Opus 5 (low),80.1,16.925,2.0,Anthropic,True,52.4569136808453,0.477,70.9,0.53*,80.5,0.764,85.4,0.48,79.8,0.77,92.4,28.55,88.5,0.637*,69.1,0.889,93.1,0.434,77.6,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
28,GPT-5.6 Sol (low),79.9,19.925,2.0,OpenAI,True,50.7315181713702,0.471,70.0,0.606,92.0,0.768,85.8,0.554,92.1,0.73,87.6,18.867,80.9,0.665,73.5,0.898,94.3,0.394,70.1,5.0,30.0,0.5,
29,Claude Opus 4.7 (max),79.6,46.925,6.0,Anthropic,True,54.9641493964167,0.495,73.6,0.515,78.2,0.831,92.9,0.545,90.6,0.753,90.4,27.267,87.4,0.586,61.1,0.914,96.4,0.423,75.5,5.0,25.0,0.5,
30,Qwen3.7 Max,79.1,7.8,3.0,Alibaba,True,46.71222295444,0.386,57.3,0.508,77.0,0.745,83.3,0.488,81.2,0.747,89.6,13.483,76.7,0.805,95.6,0.923,97.6,0.405,72.1,2.5,7.5,0.5,
31,Gemini 3.1 Pro Preview (AI Studio),78.8,11.57,3.0,Google,True,47.7383260259131,0.233,34.6,0.538,81.6,0.738,82.4,0.589,97.9,0.79,94.8,31.883,91.1,0.771,90.2,0.941,100.0,0.47,84.3,2.0,12.0,0.2,
32,MiniMax-M3 (MXFP8),78.7,1.206,3.0,MiniMax,True,45.3968506399702,0.445,66.1,0.424,64.4,0.652,72.8,0.454,75.4,0.803,96.4,1.35,67.2,0.829,99.2,0.929,98.4,0.39,69.3,0.3,1.2,0.06,
33,GPT-5.6 Luna (max),78.3,2.237,6.0,OpenAI,True,52.3180827840984,0.54,80.3,0.53*,80.5,0.809,90.4,0.525,87.3,0.783,94.0,-10.283,58.0,0.631*,68.1,0.911,96.0,0.395,70.2,0.2,1.2,0.02,"Terminal-Bench Hard(reg), IFBench(reg)"
34,GPT-5.6 Terra (high),77.3,15.17,4.0,OpenAI,True,50.1131352273405,0.505,75.1,0.576,87.4,0.757,84.5,0.501,83.3,0.733,88.0,-3.467,63.4,0.644,70.2,0.896,94.1,0.385,68.4,2.0,12.0,0.2,
35,Claude Sonnet 5 (xhigh),77.0,15.77,5.0,Anthropic,True,,0.502,74.6,0.53*,80.5,0.784*,87.6,0.49*,81.5,0.767*,92.1,0.786*,66.7,0.635*,68.7,0.908*,95.6,0.367*,65.1,2.0,10.0,0.2,"Terminal-Bench Hard(reg), Terminal-Bench v2.1(reg), SciCode(reg), LCR(reg), Omniscience Index(reg), IFBench(reg), GPQA Diamond(reg), HLE(reg)"
36,DeepSeek V4 Flash 0731 (max),76.4,0.554,6.0,DeepSeek,True,51.7665776089032,0.529,78.6,0.53*,80.5,0.787,87.9,0.499,82.9,0.743,89.2,-14.283,54.9,0.629*,67.8,0.908,95.6,0.386,68.5,0.14,0.28,0.0028,"Terminal-Bench Hard(reg), IFBench(reg)"
37,Gemini 3.5 Flash (medium),75.8,8.678,3.0,Google,True,46.67250352634763,0.357*,53.0,0.394,59.8,0.58*,64.8,0.53,88.1,0.797,95.6,20.817,82.4,0.746,86.2,0.921,97.4,0.413,73.7,1.5,9.0,0.15,"GDPval-AA(reg), Terminal-Bench v2.1(reg)"
