Rank,Model,Weighted Total,Total $/1M,Creator,Reasoning,Orig Intelligence Index,GDPval-AA,GDPval-AA (norm),Terminal-Bench Hard,Terminal-Bench Hard (norm),Terminal-Bench v2.1,Terminal-Bench v2.1 (norm),SciCode,SciCode (norm),LCR,LCR (norm),Omniscience Index,Omniscience Index (norm),IFBench,IFBench (norm),GPQA Diamond,GPQA Diamond (norm),HLE,HLE (norm),Price 1M In,Price 1M Out,Cache Hit,Imputed
1,Claude Fable 5 (with fallback),91.5,18.85,Anthropic,True,59.8606463217303,0.623,91.6,0.629,95.4,0.846,94.6,0.602,100.0,0.7,92.5,40.15,100.0,0.635,68.7,0.926,98.0,0.533,100.0,10.0,50.0,1.0,
2,GPT-5.6 Sol (max),91.5,10.925,OpenAI,True,58.889831189723,0.618,90.8,0.659,100.0,0.88,98.3,0.561,93.3,0.737,97.4,21.7,85.2,0.727,83.2,0.941,100.0,0.472,87.8,5.0,30.0,0.5,
3,Claude Opus 5 (max),90.4,9.425,Anthropic,True,60.6918740157091,0.68,100.0,0.53*,80.5,0.891,99.6,0.557,92.5,0.7,92.5,31.267,92.9,0.622*,66.7,0.932,98.8,0.526,98.5,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
4,Claude Opus 5 (xhigh),89.8,9.425,Anthropic,True,60.0681611916281,0.664,97.6,0.53*,80.5,0.88,98.3,0.55,91.3,0.687,90.7,29.8,91.7,0.638*,69.1,0.937,99.5,0.525,98.4,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
5,GPT-5.6 Sol (xhigh),88.6,10.925,OpenAI,True,57.653836996095,0.595,87.5,0.614,93.1,0.895,100.0,0.56,93.1,0.71,93.8,20.55,84.3,0.71,80.6,0.931,98.7,0.447,83.0,5.0,30.0,0.5,
6,Claude Opus 5 (high),88.0,9.425,Anthropic,True,58.8641803200348,0.62,91.2,0.53*,80.5,0.876,97.9,0.543,90.2,0.67,88.5,28.083,90.3,0.651*,71.3,0.937,99.5,0.507,94.9,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
7,GPT-5.5 (xhigh),86.9,12.018,OpenAI,True,54.8375984166433,0.496,72.8,0.606,92.0,0.843,94.1,0.561,93.3,0.743,98.2,20.067,83.9,0.759,88.2,0.935,99.2,0.443,82.1,5.5,33.0,0.55,
8,GPT-5.6 Sol (high),86.6,10.925,OpenAI,True,55.8665067971861,0.563,82.8,0.621,94.3,0.873,97.5,0.569,94.6,0.683,90.3,19.75,83.7,0.692,77.7,0.928,98.3,0.441,81.7,5.0,30.0,0.5,
9,Claude Opus 5 (medium),86.4,9.425,Anthropic,True,56.2806227158121,0.566,83.2,0.53*,80.5,0.861,96.2,0.507,84.2,0.69,91.2,25.633,88.4,0.685*,76.6,0.919,97.1,0.492,91.8,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
10,Kimi K3,85.9,5.655,Kimi,True,57.1123394372091,0.593,87.2,0.53*,80.5,0.85,95.0,0.587,97.5,0.747,98.7,18.417,82.6,0.644*,70.2,0.935,99.2,0.443,82.2,3.0,15.0,0.3,"Terminal-Bench Hard(reg), IFBench(reg)"
11,GPT-5.6 Sol (medium),84.6,10.925,OpenAI,True,53.5888349532218,0.527,77.4,0.629,95.4,0.861,96.2,0.565,93.8,0.687,90.7,18.95,83.0,0.696,78.3,0.926,98.0,0.397,73.1,5.0,30.0,0.5,
12,GPT-5.5 (high),84.4,12.018,OpenAI,True,53.1275095349873,0.484,71.1,0.598,90.8,0.794,88.7,0.559,92.9,0.733,96.9,18.367,82.6,0.716,81.5,0.932,98.8,0.43,79.6,5.5,33.0,0.55,
13,Claude Opus 4.8 (max),84.3,9.425,Anthropic,True,55.6920406995495,0.546,80.3,0.583,88.5,0.846,94.6,0.535,88.8,0.677,89.4,27.433,89.8,0.622,66.7,0.92,97.2,0.457,85.0,5.0,25.0,0.5,
14,GPT-5.6 Terra (max),84.0,5.463,OpenAI,True,54.9528567569231,0.541,79.6,0.576,87.4,0.88,98.3,0.539,89.6,0.74,97.8,-0.217,67.7,0.712,80.9,0.925,97.9,0.418,77.2,2.5,15.0,0.25,
15,Grok 4.5 (high),81.9,2.675,SpaceXAI,True,53.8265951657731,0.514,75.5,0.53*,80.5,0.816,91.2,0.541,89.8,0.677,89.4,26.383,89.0,0.652*,71.5,0.931,98.7,0.403,74.2,2.0,6.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
16,GPT-5.4 (xhigh),81.9,6.009,OpenAI,True,51.4012420630147,0.446,65.6,0.576,87.4,0.783,87.4,0.566,94.0,0.74,97.8,5.65,72.4,0.739,85.2,0.92,97.2,0.416,76.8,2.75,16.5,0.275,
17,Muse Spark 1.1 (xhigh),81.9,1.765,Meta,True,50.6229899483333,0.438,64.3,0.53*,80.5,0.779,87.0,0.582,96.7,0.633,83.7,18.0,82.3,0.771*,90.2,0.898,94.3,0.451,83.7,1.25,4.25,0.15,"Terminal-Bench Hard(reg), IFBench(reg)"
18,GPT-5.5 (medium),81.5,12.018,OpenAI,True,50.4090068672092,0.436,64.2,0.576,87.4,0.805,90.0,0.535,88.8,0.723,95.6,17.283,81.7,0.71,80.5,0.926,98.0,0.406,74.8,5.5,33.0,0.55,
19,GPT-5.3 Codex (xhigh),81.5,4.874,OpenAI,True,44.2682925707506,0.461*,67.7,0.53,80.5,0.754*,84.2,0.532,88.5,0.74,97.8,9.883,75.8,0.754,87.4,0.915,96.6,0.399,73.4,1.75,14.0,0.175,"GDPval-AA(reg), Terminal-Bench v2.1(reg)"
20,GPT-5.6 Terra (xhigh),81.4,5.463,OpenAI,True,51.6046369461818,0.537,78.9,0.629,95.4,0.801,89.5,0.516,85.8,0.713,94.3,-3.3,65.2,0.663,73.1,0.908,95.6,0.4,73.7,2.5,15.0,0.25,
21,Claude Sonnet 5 (max),81.3,5.655,Anthropic,True,53.3500026989169,0.552,81.1,0.53*,80.5,0.805,90.0,0.536,89.0,0.707,93.4,15.317,80.1,0.627*,67.5,0.911,96.0,0.396,72.8,3.0,15.0,0.3,"Terminal-Bench Hard(reg), IFBench(reg)"
22,Claude Opus 5 (low),81.2,9.425,Anthropic,True,50.6136789545909,0.477,70.1,0.53*,80.5,0.764,85.4,0.48,79.8,0.693,91.6,23.183,86.4,0.708*,80.3,0.889,93.1,0.413,76.3,5.0,25.0,0.5,"Terminal-Bench Hard(reg), IFBench(reg)"
