Rank,Model,Weighted Total,Total $/1M,Reasoning Cost ×,Creator,Reasoning,Orig Intelligence Index,Omniscience Non-Halluc.,Omniscience Non-Halluc. (norm),Omniscience Accuracy,Omniscience Accuracy (norm),IFBench,IFBench (norm),LCR,LCR (norm),HLE,HLE (norm),GPQA Diamond,GPQA Diamond (norm),Price 1M In,Price 1M Out,Cache Hit,Imputed
1,Gemini 3.1 Pro Preview (AI Studio),81.1,11.57,3.0,Google,True,47.7383260259131,0.491,54.7,0.548,83.0,0.771,90.2,0.79,94.8,0.47,84.3,0.941,100.0,2.0,12.0,0.2,
2,Qwen3.7 Max,80.7,7.8,3.0,Alibaba,True,46.71222295444,0.744,83.9,0.311,44.5,0.805,95.6,0.747,89.6,0.405,72.1,0.923,97.6,2.5,7.5,0.5,
3,MiniMax-M3 (MXFP8),80.2,1.206,3.0,MiniMax,True,45.3968506399702,0.816,92.2,0.167,21.0,0.829,99.2,0.803,96.4,0.39,69.3,0.929,98.4,0.3,1.2,0.06,
4,Grok 4.3 (high),79.6,3.507,4.0,SpaceXAI,True,37.9469171465042,0.742,83.7,0.348,50.4,0.813,96.8,0.66,79.2,0.372,66.0,0.901,94.7,1.25,2.5,0.2,
5,Grok 4.3 (medium),79.4,2.757,3.0,SpaceXAI,True,36.9152,0.831,93.9,0.288,40.6,0.833,100.0,0.683,82.0,0.3,52.5,0.89,93.3,1.25,2.5,0.2,
6,Muse Spark 1.1 (xhigh),79.4,6.865,5.0,Meta,True,53.1989553356511,0.5,55.7,0.52,78.4,0.752*,87.2,0.813,97.6,0.462,82.7,0.898,94.3,1.25,4.25,0.15,IFBench(reg)
7,Grok 4.20 0309 v2,78.9,2.757,3.0,SpaceXAI,True,37.9549,0.826,93.3,0.275,38.5,0.812,96.7,0.623,74.8,0.345,61.0,0.911,96.0,1.25,2.5,0.2,
8,Muse Spark 1.2 (xhigh),78.4,6.865,5.0,Meta,True,56.7615911905642,0.667,75.0,0.454,67.6,0.649*,71.0,0.833,100.0,0.455,81.4,0.904,95.1,1.25,4.25,0.15,IFBench(reg)
9,Grok 4.20 0309,77.4,6.17,3.0,SpaceXAI,True,37.43505,0.776,87.6,0.289,40.8,0.829,99.4,0.607,72.8,0.324,57.0,0.885,92.6,2.0,6.0,0.2,
10,Claude Fable 5 (with fallback),76.9,48.85,3.0,Anthropic,True,62.0726622017462,0.364,39.9,0.653,100.0,0.635,68.7,0.767,92.0,0.555,100.0,0.926,98.0,10.0,50.0,1.0,
11,MiMo-V2.5-Pro,76.7,1.124,3.0,Xiaomi,True,42.8796821546836,0.753,84.9,0.224,30.3,0.799,94.5,0.777,93.2,0.357,63.2,0.866,90.1,0.522,1.044,0.0043,
12,Claude Opus 4.8 (max),76.4,46.925,6.0,Anthropic,True,57.3304158758428,0.607,68.1,0.488,73.2,0.622,66.7,0.73,87.6,0.487,87.3,0.92,97.2,5.0,25.0,0.5,
13,GLM-5.2 (max),76.0,7.87,6.0,Z AI,True,52.6409563457385,0.737,83.1,0.243,33.4,0.733,84.2,0.767,92.0,0.411,73.3,0.895,93.9,1.2,4.1,0.2,
14,Gemini 3.5 Flash AI Studio,75.5,8.678,3.0,Google,True,51.96360747017,0.378,41.6,0.514,77.4,0.763,88.9,0.81,97.2,0.427,76.2,0.922,97.5,1.5,9.0,0.15,
15,Qwen3.7 Plus,74.5,1.594,3.0,Alibaba,True,39.3745992994168,0.723,81.5,0.225,30.5,0.78,91.5,0.69,82.8,0.356,63.1,0.9,94.6,0.4,1.6,0.04,
16,Claude Opus 5 (medium),74.4,24.425,3.0,Anthropic,True,58.6354597438038,0.393,43.4,0.571,86.6,0.63*,67.9,0.787,94.4,0.513,92.2,0.919,97.1,5.0,25.0,0.5,IFBench(reg)
17,Kimi K2.6,74.4,3.966,3.0,Kimi,True,45.1382483763163,0.595,66.7,0.326,46.8,0.76,88.4,0.767,92.0,0.375,66.5,0.911,96.0,0.95,4.0,0.095,
18,Gemini 3.5 Flash (medium),74.3,8.678,3.0,Google,True,46.67250352634763,0.382,42.1,0.51,76.8,0.746,86.2,0.797,95.6,0.413,73.7,0.921,97.4,1.5,9.0,0.15,
19,Claude Opus 5 (xhigh),73.8,39.425,5.0,Anthropic,True,62.52047429879,0.405,44.7,0.595,90.5,0.57*,58.4,0.763,91.6,0.544,98.0,0.937,99.5,5.0,25.0,0.5,IFBench(reg)
20,Grok 4.3 (low),73.8,2.007,2.0,SpaceXAI,True,36.32810061704343,0.826,93.4,0.267,37.2,0.81,96.2,0.677,81.2,0.184,30.9,0.843,87.2,1.25,2.5,0.2,
21,Kimi K3 (max),73.8,28.155,6.0,Kimi,True,59.6994671342592,0.468,52.0,0.476,71.2,0.639*,69.4,0.827,99.2,0.469,84.0,0.935,99.2,3.0,15.0,0.3,IFBench(reg)
22,Claude Opus 5 (high),73.6,31.925,4.0,Anthropic,True,61.4751191473465,0.388,42.8,0.589,89.5,0.593*,62.1,0.763,91.6,0.528,95.1,0.937,99.5,5.0,25.0,0.5,IFBench(reg)
23,Claude Opus 5 (max),73.1,46.925,6.0,Anthropic,True,63.0532452071291,0.392,43.2,0.609,92.7,0.554*,55.9,0.757,90.8,0.549,98.9,0.932,98.8,5.0,25.0,0.5,IFBench(reg)
24,Nemotron 3 Ultra,73.0,2.79,3.0,NVIDIA,True,38.3185469149774,0.703,79.2,0.226,30.6,0.814,96.9,0.71,85.2,0.284,49.6,0.867,90.2,0.75,2.75,0.15,
