Rank,Model,Vision,Weighted Total,Total $/1M,Blended $/1M,Effective $/1M,Total ¥/1M,Effective ¥/1M,Value Score,Cache Hit Rate,Plan,Plan Monthly,Plan Multiplier,Plan Discount,Plan URL,AA Cost/Task,Creator,Reasoning,Orig Intelligence Index,Terminal-Bench 4.0,Terminal-Bench 4.0 (norm),DeepSWE,DeepSWE (norm),LiveBench Coding,LiveBench Coding (norm),AutomationBench,AutomationBench (norm),BrowseComp,BrowseComp (norm),LiveBench Agentic Coding,LiveBench Agentic Coding (norm),LiveBench Instruction Following,LiveBench Instruction Following (norm),LCR,LCR (norm),IFBench,IFBench (norm),HLE,HLE (norm),SciCode,SciCode (norm),LiveBench Reasoning,LiveBench Reasoning (norm),Omniscience Index,Omniscience Index (norm),Price 1M In,Price 1M Out,Cache Hit,Imputed
1,claude-fable-5.1,Yes,71.6,11.856,8.956,0.224,79.621,1.504,319.79,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,3.6891263473884166,Anthropic,,,55.8,55.8,74.0*,74.0,86.4,86.4,0.314,31.4,88.9**,88.9,66.1,66.1,73.0,73.0,0.8,80.0,0.732*,73.2,0.591,59.1,0.62,62.0,91.7,91.7,43.45,93.5,10.0,50.0,0.25,"DeepSWE(reg), BrowseComp(reg,low), IFBench(reg)"
2,gpt-6-astra,Yes,70.0,12.175,9.88,0.141,81.764,0.947,496.67,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,1.674094529186887,OpenAI,,,57.9,57.9,74.0,74.0,83.6*,83.6,0.414,41.4,88.9**,88.9,53.332*,53.3,66.062*,66.1,0.743,74.3,0.704*,70.4,0.547,54.7,0.541,54.1,90.7*,90.7,43.4,93.4,10.0,50.0,1.0,"LiveBench Coding(reg), BrowseComp(reg,low), LiveBench Agentic Coding(reg), LiveBench Instruction Following(reg), IFBench(reg), LiveBench Reasoning(reg)"
3,claude-fable-5,Yes,69.1,11.917,9.059,0.226,80.031,1.518,305.9,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,10.155232380864094,Anthropic,,,42.0,42.0,70.0,70.0,86.0,86.0,0.486,48.6,88.9**,88.9,62.2,62.2,75.8,75.8,0.767,76.7,0.635,63.5,0.555,55.5,0.602,60.2,89.7,89.7,43.3,93.3,10.0,50.0,0.3929,"BrowseComp(reg,low)"
4,claude-opus-5,Yes,67.7,6.088,4.749,0.119,40.885,0.799,569.18,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,3.3119764085600014,Anthropic,,,52.3,52.3,74.0,74.0,81.4,81.4,0.269,26.9,90.8,90.8,65.2,65.2,63.8,63.8,0.757,75.7,0.706*,70.6,0.549,54.9,0.557,55.7,91.2,91.2,37.067,87.1,5.0,25.0,0.5,IFBench(reg)
5,gpt-5.6-sol,Yes,65.7,4.87,3.952,0.057,32.705,0.383,1152.87,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,0.9529762049060371,OpenAI,,,37.3,37.3,73.0,73.0,83.9,83.9,0.512,51.2,88.9**,88.9,56.2,56.2,71.8,71.8,0.777,77.7,0.727,72.7,0.495,49.5,0.561,56.1,91.7,91.7,21.967,72.0,4.0,20.0,0.4,"BrowseComp(reg,low)"
6,kimi-k3,Yes,65.5,7.305,5.469,1.203,49.058,8.079,54.49,0.9,Kimi 会员 Allegretto,27.6,4.5,0.22,https://www.kimi.com/membership/pricing,1.6021991591508284,Moonshot AI,,,38.383*,38.4,69.0,69.0,81.4,81.4,0.527,52.7,91.2,91.2,62.2,62.2,71.4,71.4,0.827,82.7,0.74*,74.0,0.469,46.9,0.587,58.7,90.7,90.7,19.7,69.7,6.0,30.0,0.6,"Terminal-Bench 4.0(reg), IFBench(reg)"
7,gemini-3.7-flash,Yes,65.3,0.913,0.741,0.37,6.131,2.485,176.53,0.8,GitHub Copilot Max,100.0,2.0,0.5,https://github.com/features/copilot/plans,0.40216581818386,Google,,,30.188*,30.2,65.0,65.0,78.9,78.9,0.627,62.7,88.9**,88.9,58.3,58.3,79.9,79.9,0.8,80.0,0.74*,74.0,0.479,47.9,0.568,56.8,87.8,87.8,26.483,76.5,0.75,3.75,0.075,"Terminal-Bench 4.0(reg), BrowseComp(reg,low), IFBench(reg)"
8,gemini-3.8-flash,Yes,63.6,0.913,0.741,0.37,6.131,2.485,171.91,0.8,GitHub Copilot Max,100.0,2.0,0.5,https://github.com/features/copilot/plans,0.5766390520257983,Google,,,19.1,19.1,74.0,74.0,72.5,72.5,0.507,50.7,88.9**,88.9,54.2,54.2,81.4,81.4,0.81,81.0,0.745*,74.5,0.478,47.8,0.536,53.6,89.3,89.3,29.55,79.5,0.75,3.75,0.075,"BrowseComp(reg,low), IFBench(reg)"
9,gpt-5.5,Yes,63.5,6.838,5.69,0.081,45.922,0.544,784.15,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,1.1910028328395381,OpenAI,,,36.906*,36.9,67.0,67.0,82.1,82.1,0.421,42.1,88.9**,88.9,54.0,54.0,70.7,70.7,0.79,79.0,0.759,75.9,0.458,45.8,0.561,56.1,89.7,89.7,20.517,70.5,5.0,30.0,0.5,"Terminal-Bench 4.0(reg), BrowseComp(reg,low)"
10,grok-4.6,Yes,62.3,1.962,1.771,0.332,13.176,2.23,187.68,0.65,SuperGrok Heavy,300.0,5.3,0.1875,https://x.ai/pricing,0.9372171271668933,xAI,,,29.785*,29.8,67.0,67.0,76.8,76.8,0.421*,42.1,88.9**,88.9,57.0,57.0,71.9,71.9,0.75,75.0,0.713*,71.3,0.429,42.9,0.536,53.6,90.5,90.5,30.483,80.5,2.0,6.0,0.5,"Terminal-Bench 4.0(reg), AutomationBench(reg), BrowseComp(reg,low), IFBench(reg)"
11,glm-5.3,No,61.1,1.972,1.65,0.048,13.243,0.322,1273.8,0.7,GLM Coding Plan Max,149.7,34.4,0.029,https://bigmodel.cn/glm-coding,0.7895428455429934,Z.AI,,,41.8,41.8,69.0,69.0,79.0,79.0,0.455*,45.5,88.9**,88.9,60.9,60.9,69.3,69.3,0.763,76.3,0.715*,71.5,0.423,42.3,0.565,56.5,85.8,85.8,14.3,64.3,2.1,6.6,0.21,"AutomationBench(reg), BrowseComp(reg,low), IFBench(reg)"
