Rank,Model,Vision,Weighted Total,Total $/1M,Blended $/1M,Effective $/1M,Total ¥/1M,Effective ¥/1M,Value Score,Cache Hit Rate,Plan,Plan Monthly,Plan Multiplier,Plan Discount,Plan URL,AA Cost/Task,Creator,Reasoning,Orig Intelligence Index,EQ-Bench Creative Writing,EQ-Bench Creative Writing (norm),LiveBench Language,LiveBench Language (norm),Omniscience Index,Omniscience Index (norm),LiveBench Instruction Following,LiveBench Instruction Following (norm),GPQA Diamond,GPQA Diamond (norm),HLE,HLE (norm),LCR,LCR (norm),Price 1M In,Price 1M Out,Cache Hit,Imputed
1,claude-fable-5.1,Yes,80.4,11.856,8.956,0.224,79.621,1.504,358.91,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,3.6891263473884166,Anthropic,,,2062.4*,82.8,89.5,89.5,43.45,93.5,73.0,73.0,0.937,93.7,0.591,59.1,0.8,80.0,10.0,50.0,0.25,EQ-Bench Creative Writing(reg)
2,claude-fable-5,Yes,77.1,11.917,9.059,0.226,80.031,1.518,341.19,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,10.155232380864094,Anthropic,,,1933.2,66.7,90.7,90.7,43.3,93.3,75.8,75.8,0.926,92.6,0.555,55.5,0.767,76.7,10.0,50.0,0.3929,
3,claude-opus-5,Yes,77.1,6.088,4.749,0.119,40.885,0.799,648.03,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,3.3119764085600014,Anthropic,,,2116.1,89.5,88.7,88.7,37.067,87.1,63.8,63.8,0.932,93.2,0.549,54.9,0.757,75.7,5.0,25.0,0.5,
4,kimi-k3,Yes,73.9,7.305,5.469,1.203,49.058,8.079,61.42,0.9,Kimi 会员 Allegretto,27.6,4.5,0.22,https://www.kimi.com/membership/pricing,1.6021991591508284,Moonshot AI,,,2070.8,83.9,85.5,85.5,19.7,69.7,71.4,71.4,0.935,93.5,0.469,46.9,0.827,82.7,6.0,30.0,0.6,
5,gpt-6-astra,Yes,73.5,12.175,9.88,0.141,81.764,0.947,521.36,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,1.674094529186887,OpenAI,,,1872.806*,59.1,87.8*,87.8,43.4,93.4,66.675*,66.7,0.961,96.1,0.547,54.7,0.743,74.3,10.0,50.0,1.0,"EQ-Bench Creative Writing(reg), LiveBench Language(reg), LiveBench Instruction Following(reg)"
6,gemini-3.8-flash,Yes,73.3,0.913,0.741,0.37,6.131,2.485,198.15,0.8,GitHub Copilot Max,100.0,2.0,0.5,https://github.com/features/copilot/plans,0.5766390520257983,Google,,,1856.177*,57.0,87.8,87.8,29.55,79.5,81.4,81.4,0.953,95.3,0.478,47.8,0.81,81.0,0.75,3.75,0.075,EQ-Bench Creative Writing(reg)
7,gpt-5.6-sol,Yes,71.9,4.87,3.952,0.057,32.705,0.383,1261.36,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,0.9529762049060371,OpenAI,,,1964.1,70.5,87.7,87.7,21.967,72.0,71.8,71.8,0.941,94.1,0.495,49.5,0.777,77.7,4.0,20.0,0.4,
8,muse-spark-1.1,Yes,70.4,1.232,1.139,1.139,8.274,7.649,61.84,0.6,,,,,,0.2923366107461809,Meta,,,1915.2,64.4,74.3,74.3,28.083,78.1,69.6,69.6,0.898,89.8,0.462,46.2,0.813,81.3,1.25,4.25,0.15,
9,glm-5.3,No,70.1,1.972,1.65,0.048,13.243,0.322,1459.84,0.7,GLM Coding Plan Max,149.7,34.4,0.029,https://bigmodel.cn/glm-coding,0.7895428455429934,Z.AI,,,2062.4,82.8,79.9,79.9,14.3,64.3,69.3,69.3,0.917,91.7,0.423,42.3,0.763,76.3,2.1,6.6,0.21,
10,muse-spark-1.2,Yes,70.0,1.232,1.139,1.139,8.274,7.649,61.46,0.6,,,,,,0.3992003044679802,Meta,,,1835.4,54.4,78.6,78.6,27.2,77.2,74.3,74.3,0.904,90.4,0.455,45.5,0.833,83.3,1.25,4.25,0.15,
