Rank,Model,Weighted Total,Total $/1M,Effective $/1M,Total ¥/1M,Effective ¥/1M,Value Score,Cache Hit Rate,Plan,AA Cost/Task,Creator,Reasoning,Orig Intelligence Index,LiveBench Coding,LiveBench Coding (norm),DeepSWE,DeepSWE (norm),LiveBench Agentic Coding,LiveBench Agentic Coding (norm),LiveBench Instruction Following,LiveBench Instruction Following (norm),LCR,LCR (norm),Omniscience Index,Omniscience Index (norm),GPQA Diamond,GPQA Diamond (norm),HLE,HLE (norm),Price 1M In,Price 1M Out,Cache Hit,Imputed
1,minimax-m3,58.9,0.389,0.008,2.622,0.054,7357.24,0.3,MiniMax Max Token Plan,,MiniMax,,,68.2,68.2,36.0*,36.0,40.7,40.7,57.5,57.5,0.803,80.3,1.35,51.4,0.929,92.9,0.39,39.0,0.24,0.96,0.048,DeepSWE(reg)
2,gpt-5.4-mini,57.8,1.639,0.02,11.048,0.135,2890.37,0.9,ChatGPT Pro 20x,0.49475962823531655,OpenAI,,,71.6,71.6,42.703*,42.7,41.7,41.7,59.8,59.8,0.73,73.0,-18.917,31.1,0.875,87.5,0.281,28.1,0.75,4.5,0.075,DeepSWE(reg)
3,gpt-5.6-luna,67.6,2.492,0.032,16.798,0.216,2113.31,0.9,ChatGPT Pro 20x,0.34262543947804064,OpenAI,,,82.9,82.9,67.0,67.0,48.4,48.4,60.1,60.1,0.783,78.3,-10.283,39.7,0.911,91.1,0.395,39.5,1.1,6.6,0.364,
4,gpt-5.2-codex,68.2,4.874,0.062,32.855,0.418,1099.55,0.9,ChatGPT Pro 20x,,OpenAI,,,83.6,83.6,57.684*,57.7,49.4,49.4,66.4,66.4,0.793,79.3,-2.167,47.8,0.899,89.9,0.357,35.7,1.75,14.0,0.175,DeepSWE(reg)
5,gpt-5.2,63.5,4.874,0.062,32.855,0.418,1024.12,0.9,ChatGPT Pro 20x,,OpenAI,,,76.1,76.1,43.968*,44.0,50.3,50.3,61.8,61.8,0.793,79.3,-0.883,49.1,0.903,90.3,0.377,37.7,1.75,14.0,0.175,DeepSWE(reg)
6,gpt-5.4,68.8,5.463,0.068,36.825,0.458,1011.82,0.9,ChatGPT Pro 20x,0.9075333710332684,OpenAI,,,77.5,77.5,60.185*,60.2,53.8,53.8,70.2,70.2,0.777,77.7,5.783,55.8,0.92,92.0,0.437,43.7,2.5,15.0,0.25,DeepSWE(reg)
7,gpt-5.6-terra,68.3,6.232,0.08,42.009,0.539,853.56,0.9,ChatGPT Pro 20x,0.9743827727738106,OpenAI,,,78.2,78.2,62.703*,62.7,54.9,54.9,64.6,64.6,0.797,79.7,0.05,50.0,0.925,92.5,0.429,42.9,2.75,16.5,0.9120000000000001,DeepSWE(reg)
8,claude-sonnet-5,69.3,3.931,0.089,26.498,0.6,778.63,0.9,Claude Max 20x,1.9639817273758235,Anthropic,,,80.7,80.7,54.0,54.0,59.4,59.4,63.9,63.9,0.77,77.0,16.45,66.5,0.911,91.1,0.413,41.3,2.0,10.0,0.66,
9,gpt-5.5,73.1,10.925,0.135,73.643,0.91,541.33,0.9,ChatGPT Pro 20x,1.1747069315889214,OpenAI,,,82.1,82.1,67.0,67.0,54.0,54.0,70.7,70.7,0.79,79.0,20.517,70.5,0.935,93.5,0.458,45.8,5.0,30.0,0.5,
10,gpt-5.6-sol,75.1,11.328,0.145,76.36,0.977,517.94,0.9,ChatGPT Pro 20x,1.2312110558767355,OpenAI,,,83.9,83.9,73.0,73.0,56.2,56.2,71.8,71.8,0.777,77.7,21.967,72.0,0.941,94.1,0.495,49.5,5.0,30.0,1.65,
11,deepseek-v4-flash,63.0,0.148,0.122,0.998,0.822,515.99,0.9,,0.19818329310673555,DeepSeek,,,75.0,75.0,53.0,53.0,46.8,46.8,65.5,65.5,0.743,74.3,-14.283,35.7,0.908,90.8,0.386,38.6,0.14,0.28,0.044,
12,claude-sonnet-4.6,64.3,5.896,0.133,39.744,0.897,483.73,0.9,Claude Max 20x,1.6136225858547473,Anthropic,,,79.3,79.3,43.947*,43.9,42.6,42.6,63.2,63.2,0.74,74.0,12.217,62.2,0.875,87.5,0.336,33.6,3.0,15.0,0.99,DeepSWE(reg)
13,claude-opus-5,75.7,9.828,0.222,66.249,1.496,340.86,0.9,Claude Max 20x,3.3119764085600014,Anthropic,,,81.4,81.4,74.0,74.0,65.2,65.2,63.8,63.8,0.757,75.7,37.067,87.1,0.932,93.2,0.549,54.9,5.0,25.0,1.65,
